cited_doi,reference_number,cited_reference,cited_first_author,resolved_doi,doi_exact_match,authoritative_title,title_present_in_citation,authoritative_first_author,journal,year,volume,issue,pages_or_article,authors,crossref_url,issue.date.parts.2017L,issue.date.parts.11L,issue.date.parts.13L,first_author_match,pmid,pmcid,status,verification_status
10.1038/s42003-021-02189-9,11,"11. Tabaries S, Annis MG, Lazaris A, Petrillo SK, Huxham J, Abdellatif A, et al. Claudin-2 promotes colorectal cancer liver metastasis and is a biomarker of the replacement type growth pattern. Commun Biol. 2021;4:657. doi:10.1038/s42003-021-02189-9",Tabaries,10.1038/s42003-021-02189-9,TRUE,Claudin-2 promotes colorectal cancer liver metastasis and is a biomarker of the replacement type growth pattern,TRUE,Tabariès,Communications Biology,2021,4,1,657,Sébastien Tabariès; Matthew G. Annis; Anthoula Lazaris; Stephanie K. Petrillo; Jennifer Huxham; Amri Abdellatif; Vincent Palmieri; Jaclyn Chabot; Radia M. Johnson; Steven Van Laere; Cornelis Verhoef; Yasmina Hachem; Sara Yumeen; Nicholas Meti; Atilla Omeroglu; Gulbeyaz Altinel; Zu-Hua Gao; Alan S. L. Yu; Dirk J. Grünhagen; Peter Vermeulen; Peter Metrakos; Peter M. Siegel,https://doi.org/10.1038/s42003-021-02189-9,,,,TRUE,34079064,PMC8172859,,verified_doi_title_first_author
10.1016/j.celrep.2020.107924,12,"12. Millard C, Yamada S, Salmeron C, Delolme F, Schulte R, Banerjee S, et al. Interplay between extracellular matrix stiffness and JAM-A regulates mechanical load on ZO-1 and tight junction assembly. Cell Rep. 2020;32:107924. doi:10.1016/j.celrep.2020.107924",Millard,10.1016/j.celrep.2020.107924,TRUE,Interplay between Extracellular Matrix Stiffness and JAM-A Regulates Mechanical Load on ZO-1 and Tight Junction Assembly,FALSE,Haas,Cell Reports,2020,32,3,107924,Alexis J. Haas; Ceniz Zihni; Artur Ruppel; Christian Hartmann; Klaus Ebnet; Masazumi Tada; Maria S. Balda; Karl Matter,https://doi.org/10.1016/j.celrep.2020.107924,,,,FALSE,32697990,PMC7383227,,verified_doi_metadata_review_needed
10.3390/cancers13133322,13,"13. Keller-Pinter A, Gyulai-Nagy S, Becsky D, Dux L, Rovo L. Syndecan-4 in tumor cell motility. Cancers. 2021;13:3322. doi:10.3390/cancers13133322",Keller-Pinter,10.3390/cancers13133322,TRUE,Syndecan-4 in Tumor Cell Motility,FALSE,Keller-Pinter,Cancers,2021,13,13,3322,Aniko Keller-Pinter; Szuzina Gyulai-Nagy; Daniel Becsky; Laszlo Dux; Laszlo Rovo,https://doi.org/10.3390/cancers13133322,,,,TRUE,34282767,PMC8268284,,verified_doi_metadata_review_needed
10.3390/ijms242115812,14,14. Cirillo N. The hyaluronan/CD44 axis: a double-edged sword in cancer. Int J Mol Sci. 2023;24:15812. doi:10.3390/ijms242115812,Cirillo,10.3390/ijms242115812,TRUE,The Hyaluronan/CD44 Axis: A Double-Edged Sword in Cancer,FALSE,Cirillo,International Journal of Molecular Sciences,2023,24,21,15812,Nicola Cirillo,https://doi.org/10.3390/ijms242115812,,,,TRUE,37958796,PMC10649834,,verified_doi_metadata_review_needed
10.1038/s41587-020-0546-8,15,"15. Goldman MJ, Craft B, Hastie M, Repecka K, McDade F, Kamath A, et al. Visualizing and interpreting cancer genomics data via the Xena platform. Nat Biotechnol. 2020;38:675–678. doi:10.1038/s41587-020-0546-8",Goldman,10.1038/s41587-020-0546-8,TRUE,Visualizing and interpreting cancer genomics data via the Xena platform,TRUE,Goldman,Nature Biotechnology,2020,38,6,675-678,Mary J. Goldman; Brian Craft; Mim Hastie; Kristupas Repečka; Fran McDade; Akhil Kamath; Ayan Banerjee; Yunhai Luo; Dave Rogers; Angela N. Brooks; Jingchun Zhu; David Haussler,https://doi.org/10.1038/s41587-020-0546-8,,,,TRUE,32444850,PMC7386072,,verified_doi_title_first_author
10.1038/s41588-020-0636-z,16,"16. Lee HO, Hong Y, Etlioglu HE, Cho YB, Pomella V, Van den Bosch B, et al. Lineage-dependent gene expression programs influence the immune landscape of colorectal cancer. Nat Genet. 2020;52:594–603. doi:10.1038/s41588-020-0636-z",Lee,10.1038/s41588-020-0636-z,TRUE,Lineage-dependent gene expression programs influence the immune landscape of colorectal cancer,TRUE,Lee,Nature Genetics,2020,52,6,594-603,Hae-Ock Lee; Yourae Hong; Hakki Emre Etlioglu; Yong Beom Cho; Valentina Pomella; Ben Van den Bosch; Jasper Vanhecke; Sara Verbandt; Hyekyung Hong; Jae-Woong Min; Nayoung Kim; Hye Hyeon Eum; Junbin Qian; Bram Boeckx; Diether Lambrechts; Petros Tsantoulis; Gert De Hertogh; Woosung Chung; Taeseob Lee; Minae An; Hyun-Tae Shin; Je-Gun Joung; Min-Hyeok Jung; Gunhwan Ko; Pratyaksha Wirapati; Seok Hyung Kim; Hee Cheol Kim; Seong Hyeon Yun; Iain Bee Huat Tan; Bobby Ranjan; Woo Yong Lee; Tae-You Kim; Jung Kyoon Choi; Young-Joon Kim; Shyam Prabhakar; Sabine Tejpar; Woong-Yang Park,https://doi.org/10.1038/s41588-020-0636-z,,,,TRUE,,,error,verified_doi_title_first_author
10.15252/emmm.202114123,17,"17. Uhlitz F, Bischoff P, Peidli S, Sieber A, Trinks A, Lüthen M, et al. Mitogen-activated protein kinase activity drives cell trajectories in colorectal cancer. EMBO Mol Med. 2021;13:e14123. doi:10.15252/emmm.202114123",Uhlitz,10.15252/emmm.202114123,TRUE,Mitogen‐activated protein kinase activity drives cell trajectories in colorectal cancer,TRUE,Uhlitz,EMBO Molecular Medicine,2021,13,10,EMMM202114123,Florian Uhlitz; Philip Bischoff; Stefan Peidli; Anja Sieber; Alexandra Trinks; Mareen Lüthen; Benedikt Obermayer; Eric Blanc; Yana Ruchiy; Thomas Sell; Soulafa Mamlouk; Roberto Arsie; Tzu‐Ting Wei; Kathleen Klotz‐Noack; Roland F Schwarz; Birgit Sawitzki; Carsten Kamphues; Dieter Beule; Markus Landthaler; Christine Sers; David Horst; Nils Blüthgen; Markus Morkel,https://doi.org/10.15252/emmm.202114123,,,,TRUE,34409732,PMC8495451,,verified_doi_title_first_author
10.1038/s41698-023-00488-4,18,"18. Valdeolivas A, Amberg B, Giroud N, Richardson M, Gálvez EJC, Badillo S, et al. Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics. npj Precis Oncol. 2024;8:10. doi:10.1038/s41698-023-00488-4",Valdeolivas,10.1038/s41698-023-00488-4,TRUE,Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics,TRUE,Valdeolivas,npj Precision Oncology,2024,8,1,10,Alberto Valdeolivas; Bettina Amberg; Nicolas Giroud; Marion Richardson; Eric J. C. Gálvez; Solveig Badillo; Alice Julien-Laferrière; Demeter Túrós; Lena Voith von Voithenberg; Isabelle Wells; Benedek Pesti; Amy A. Lo; Emilio Yángüez; Meghna Das Thakur; Michael Bscheider; Marc Sultan; Nadine Kumpesa; Björn Jacobsen; Tobias Bergauer; Julio Saez-Rodriguez; Sven Rottenberg; Petra C. Schwalie; Kerstin Hahn,https://doi.org/10.1038/s41698-023-00488-4,,,,TRUE,38200223,PMC10781769,,verified_doi_title_first_author
10.1016/j.cell.2019.03.030,19,"19. Vasaikar S, Huang C, Wang X, Petyuk VA, Savage SR, Wen B, et al. Proteogenomic analysis of human colon cancer reveals new therapeutic opportunities. Cell. 2019;177:1035–1049.e19. doi:10.1016/j.cell.2019.03.030",Vasaikar,10.1016/j.cell.2019.03.030,TRUE,Proteogenomic Analysis of Human Colon Cancer Reveals New Therapeutic Opportunities,FALSE,Vasaikar,Cell,2019,177,4,1035-1049.e19,Suhas Vasaikar; Chen Huang; Xiaojing Wang; Vladislav A. Petyuk; Sara R. Savage; Bo Wen; Yongchao Dou; Yun Zhang; Zhiao Shi; Osama A. Arshad; Marina A. Gritsenko; Lisa J. Zimmerman; Jason E. McDermott; Therese R. Clauss; Ronald J. Moore; Rui Zhao; Matthew E. Monroe; Yi-Ting Wang; Matthew C. Chambers; Robbert J.C. Slebos; Ken S. Lau; Qianxing Mo; Li Ding; Matthew Ellis; Mathangi Thiagarajan; Christopher R. Kinsinger; Henry Rodriguez; Richard D. Smith; Karin D. Rodland; Daniel C. Liebler; Tao Liu; Bing Zhang; Akhilesh Pandey; Amanda Paulovich; Andrew Hoofnagle; D.R. Mani; Daniel W. Chan; David F. Ransohoff; David Fenyo; David L. Tabb; Douglas A. Levine; Emily S. Boja; Eric Kuhn; Forest M. White; Gordon A. Whiteley; Heng Zhu; Hui Zhang; Ie-Ming Shih; Jasmin Bavarva; Jeffrey Whiteaker; Karen A. Ketchum; Karl R. Clauser; Kelly Ruggles; Kimberly Elburn; Linda Hannick; Mark Watson; Mauricio Oberti; Mehdi Mesri; Melinda E. Sanders; Melissa Borucki; Michael A. Gillette; Michael Snyder; Nathan J. Edwards; Negin Vatanian; Paul A. Rudnick; Peter B. McGarvey; Philip Mertins; R. Reid Townsend; Ratna R. Thangudu; Robert C. Rivers; Samuel H. Payne; Sherri R. Davies; Shuang Cai; Stephen E. Stein; Steven A. Carr; Steven J. Skates; Subha Madhavan; Tara Hiltke; Xian Chen; Yingming Zhao; Yue Wang; Zhen Zhang,https://doi.org/10.1016/j.cell.2019.03.030,,,,TRUE,31031003,PMC6768830,,verified_doi_metadata_review_needed
10.1158/2159-8290.cd-12-0095,20,"20. Cerami E, Gao J, Dogrusoz U, Gross BE, Sumer SO, Aksoy BA, et al. The cBio Cancer Genomics Portal: an open platform for exploring multidimensional cancer genomics data. Cancer Discov. 2012;2:401–404. doi:10.1158/2159-8290.cd-12-0095",Cerami,10.1158/2159-8290.cd-12-0095,TRUE,The cBio Cancer Genomics Portal: An Open Platform for Exploring Multidimensional Cancer Genomics Data,FALSE,Cerami,Cancer Discovery,2012,2,5,401-404,Ethan Cerami; Jianjiong Gao; Ugur Dogrusoz; Benjamin E. Gross; Selcuk Onur Sumer; Bülent Arman Aksoy; Anders Jacobsen; Caitlin J. Byrne; Michael L. Heuer; Erik Larsson; Yevgeniy Antipin; Boris Reva; Arthur P. Goldberg; Chris Sander; Nikolaus Schultz,https://doi.org/10.1158/2159-8290.cd-12-0095,,,,TRUE,22588877,PMC3956037,,verified_doi_metadata_review_needed
10.1126/scisignal.2004088,21,"21. Gao J, Aksoy BA, Dogrusoz U, Dresdner G, Gross B, Sumer SO, et al. Integrative analysis of complex cancer genomics and clinical profiles using the cBioPortal. Sci Signal. 2013;6:pl1. doi:10.1126/scisignal.2004088",Gao,10.1126/scisignal.2004088,TRUE,Integrative Analysis of Complex Cancer Genomics and Clinical Profiles Using the cBioPortal,FALSE,Gao,Science Signaling,2013,6,269,,Jianjiong Gao; Bülent Arman Aksoy; Ugur Dogrusoz; Gideon Dresdner; Benjamin Gross; S. Onur Sumer; Yichao Sun; Anders Jacobsen; Rileen Sinha; Erik Larsson; Ethan Cerami; Chris Sander; Nikolaus Schultz,https://doi.org/10.1126/scisignal.2004088,,,,TRUE,23550210,PMC4160307,,verified_doi_metadata_review_needed
10.1016/j.neo.2017.05.002,22,"22. Chandrashekar DS, Bashel B, Balasubramanya SAH, Creighton CJ, Ponce-Rodriguez I, Chakravarthi BVSK, et al. UALCAN: a portal for facilitating tumor subgroup gene expression and survival analyses. Neoplasia. 2017;19:649–658. doi:10.1016/j.neo.2017.05.002",Chandrashekar,10.1016/j.neo.2017.05.002,TRUE,UALCAN: A Portal for Facilitating Tumor Subgroup Gene Expression and Survival Analyses,FALSE,Chandrashekar,Neoplasia,2017,19,8,649-658,Darshan S. Chandrashekar; Bhuwan Bashel; Sai Akshaya Hodigere Balasubramanya; Chad J. Creighton; Israel Ponce-Rodriguez; Balabhadrapatruni V.S.K. Chakravarthi; Sooryanarayana Varambally,https://doi.org/10.1016/j.neo.2017.05.002,,,,TRUE,28732212,PMC5516091,,verified_doi_metadata_review_needed
10.1016/j.cell.2021.04.048,23,"23. Hao Y, Hao S, Andersen-Nissen E, Mauck WM 3rd, Zheng S, Butler A, et al. Integrated analysis of multimodal single-cell data. Cell. 2021;184:3573–3587.e29. doi:10.1016/j.cell.2021.04.048",Hao,10.1016/j.cell.2021.04.048,TRUE,Integrated analysis of multimodal single-cell data,TRUE,Hao,Cell,2021,184,13,3573-3587.e29,Yuhan Hao; Stephanie Hao; Erica Andersen-Nissen; William M. Mauck; Shiwei Zheng; Andrew Butler; Maddie J. Lee; Aaron J. Wilk; Charlotte Darby; Michael Zager; Paul Hoffman; Marlon Stoeckius; Efthymia Papalexi; Eleni P. Mimitou; Jaison Jain; Avi Srivastava; Tim Stuart; Lamar M. Fleming; Bertrand Yeung; Angela J. Rogers; Juliana M. McElrath; Catherine A. Blish; Raphael Gottardo; Peter Smibert; Rahul Satija,https://doi.org/10.1016/j.cell.2021.04.048,,,,TRUE,34062119,PMC8238499,,verified_doi_title_first_author
10.1038/s41592-019-0619-0,24,"24. Korsunsky I, Millard N, Fan J, Slowikowski K, Zhang F, Wei K, et al. Fast, sensitive and accurate integration of single-cell data with Harmony. Nat Methods. 2019;16:1289–1296. doi:10.1038/s41592-019-0619-0",Korsunsky,10.1038/s41592-019-0619-0,TRUE,"Fast, sensitive and accurate integration of single-cell data with Harmony",TRUE,Korsunsky,Nature Methods,2019,16,12,1289-1296,Ilya Korsunsky; Nghia Millard; Jean Fan; Kamil Slowikowski; Fan Zhang; Kevin Wei; Yuriy Baglaenko; Michael Brenner; Po-ru Loh; Soumya Raychaudhuri,https://doi.org/10.1038/s41592-019-0619-0,,,,TRUE,31740819,PMC6884693,,verified_doi_title_first_author
10.1007/s11749-018-0599-x,25,"25. Bivand RS, Wong DWS. Comparing implementations of global and local indicators of spatial association. TEST. 2018;27:716–748. doi:10.1007/s11749-018-0599-x",Bivand,10.1007/s11749-018-0599-x,TRUE,Comparing implementations of global and local indicators of spatial association,TRUE,Bivand,TEST,2018,27,3,716-748,Roger S. Bivand; David W. S. Wong,https://doi.org/10.1007/s11749-018-0599-x,,,,TRUE,,,error,verified_doi_title_first_author
10.1038/s41467-021-21246-9,26,"26. Jin S, Guerrero-Juarez CF, Zhang L, Chang I, Ramos R, Kuan CH, et al. Inference and analysis of cell-cell communication using CellChat. Nat Commun. 2021;12:1088. doi:10.1038/s41467-021-21246-9",Jin,10.1038/s41467-021-21246-9,TRUE,Inference and analysis of cell-cell communication using CellChat,TRUE,Jin,Nature Communications,2021,12,1,1088,Suoqin Jin; Christian F. Guerrero-Juarez; Lihua Zhang; Ivan Chang; Raul Ramos; Chen-Hsiang Kuan; Peggy Myung; Maksim V. Plikus; Qing Nie,https://doi.org/10.1038/s41467-021-21246-9,,,,TRUE,33597522,PMC7889871,,verified_doi_title_first_author
10.1038/s41596-024-01045-4,27,"27. Jin S, Plikus MV, Nie Q. CellChat for systematic analysis of cell-cell communication from single-cell transcriptomics. Nat Protoc. 2025;20:180–219. doi:10.1038/s41596-024-01045-4",Jin,10.1038/s41596-024-01045-4,TRUE,CellChat for systematic analysis of cell–cell communication from single-cell transcriptomics,TRUE,Jin,Nature Protocols,2024,20,1,180-219,Suoqin Jin; Maksim V. Plikus; Qing Nie,https://doi.org/10.1038/s41596-024-01045-4,,,,TRUE,,,error,verified_doi_title_first_author
10.1038/s41592-019-0667-5,28,"28. Browaeys R, Saelens W, Saeys Y. NicheNet: modeling intercellular communication by linking ligands to target genes. Nat Methods. 2020;17:159–162. doi:10.1038/s41592-019-0667-5",Browaeys,10.1038/s41592-019-0667-5,TRUE,NicheNet: modeling intercellular communication by linking ligands to target genes,TRUE,Browaeys,Nature Methods,2019,17,2,159-162,Robin Browaeys; Wouter Saelens; Yvan Saeys,https://doi.org/10.1038/s41592-019-0667-5,,,,TRUE,,,error,verified_doi_title_first_author
10.1038/s41467-017-02391-6,29,"29. Schubert M, Klinger B, Klunemann M, Sieber A, Uhlitz F, Sauer S, et al. Perturbation-response genes reveal signaling footprints in cancer gene expression. Nat Commun. 2018;9:20. doi:10.1038/s41467-017-02391-6",Schubert,10.1038/s41467-017-02391-6,TRUE,Perturbation-response genes reveal signaling footprints in cancer gene expression,TRUE,Schubert,Nature Communications,2018,9,1,20,Michael Schubert; Bertram Klinger; Martina Klünemann; Anja Sieber; Florian Uhlitz; Sascha Sauer; Mathew J. Garnett; Nils Blüthgen; Julio Saez-Rodriguez,https://doi.org/10.1038/s41467-017-02391-6,,,,TRUE,29295995,PMC5750219,,verified_doi_title_first_author
10.1101/gr.240663.118,30,"30. Garcia-Alonso L, Holland CH, Ibrahim MM, Turei D, Saez-Rodriguez J. Benchmark and integration of resources for the estimation of human transcription factor activities. Genome Res. 2019;29:1363–1375. doi:10.1101/gr.240663.118",Garcia-Alonso,10.1101/gr.240663.118,TRUE,Benchmark and integration of resources for the estimation of human transcription factor activities,TRUE,Garcia-Alonso,Genome Research,2019,29,8,1363-1375,Luz Garcia-Alonso; Christian H. Holland; Mahmoud M. Ibrahim; Denes Turei; Julio Saez-Rodriguez,https://doi.org/10.1101/gr.240663.118,,,,TRUE,31340985,PMC6673718,,verified_doi_title_first_author
10.1186/s13059-016-1070-5,31,"31. Becht E, Giraldo NA, Lacroix L, Buttard B, Elarouci N, Petitprez F, et al. Estimating the population abundance of tissue-infiltrating immune and stromal cell populations using gene expression. Genome Biol. 2016;17:218. doi:10.1186/s13059-016-1070-5",Becht,10.1186/s13059-016-1070-5,TRUE,Estimating the population abundance of tissue-infiltrating immune and stromal cell populations using gene expression,TRUE,Becht,Genome Biology,2016,17,1,218,Etienne Becht; Nicolas A. Giraldo; Laetitia Lacroix; Bénédicte Buttard; Nabila Elarouci; Florent Petitprez; Janick Selves; Pierre Laurent-Puig; Catherine Sautès-Fridman; Wolf H. Fridman; Aurélien de Reyniès,https://doi.org/10.1186/s13059-016-1070-5,,,,TRUE,27765066,PMC5073889,,verified_doi_title_first_author
10.7554/elife.26476,32,"32. Racle J, de Jonge K, Baumgaertner P, Speiser DE, Gfeller D. Simultaneous enumeration of cancer and immune cell types from bulk tumor gene expression data. eLife. 2017;6:e26476. doi:10.7554/elife.26476",Racle,10.7554/elife.26476,TRUE,Simultaneous enumeration of cancer and immune cell types from bulk tumor gene expression data,TRUE,Racle,eLife,2017,6,,e26476,Julien Racle; Kaat de Jonge; Petra Baumgaertner; Daniel E Speiser; David Gfeller,https://doi.org/10.7554/elife.26476,2017,11,13,TRUE,29130882,PMC5718706,,verified_doi_title_first_author
10.1038/nrm3758,33,"33. Lamouille S, Xu J, Derynck R. Molecular mechanisms of epithelial-mesenchymal transition. Nat Rev Mol Cell Biol. 2014;15:178–196. doi:10.1038/nrm3758",Lamouille,10.1038/nrm3758,TRUE,Molecular mechanisms of epithelial–mesenchymal transition,TRUE,Lamouille,Nature Reviews Molecular Cell Biology,2014,15,3,178-196,Samy Lamouille; Jian Xu; Rik Derynck,https://doi.org/10.1038/nrm3758,,,,TRUE,24556840,PMC4240281,,verified_doi_title_first_author
10.1016/j.bbamem.2020.183503,34,"34. Kyuno D, Takasawa A, Kikuchi S, Takemasa I, Osanai M, Kojima T. Role of tight junctions in the epithelial-to-mesenchymal transition of cancer cells. Biochim Biophys Acta Biomembr. 2021;1863:183503. doi:10.1016/j.bbamem.2020.183503",Kyuno,10.1016/j.bbamem.2020.183503,TRUE,Role of tight junctions in the epithelial-to-mesenchymal transition of cancer cells,TRUE,Kyuno,Biochimica et Biophysica Acta (BBA) - Biomembranes,2021,1863,3,183503,Daisuke Kyuno; Akira Takasawa; Shin Kikuchi; Ichiro Takemasa; Makoto Osanai; Takashi Kojima,https://doi.org/10.1016/j.bbamem.2020.183503,,,,TRUE,,,error,verified_doi_title_first_author
