cited_doi,final_reference_number,final_reference,final_first_author,resolved_doi,authoritative_title,authoritative_first_author,journal,year,volume,issue,pages_or_article,pmid,crossref_url,doi_resolved,first_author_match
10.1038/s41588-020-0636-z,16,"16. Lee HO, Hong Y, Etlioglu HE, Cho YB, Pomella V, Van den Bosch B, et al. Lineage-dependent gene expression programs influence the immune landscape of colorectal cancer. Nat Genet. 2020;52:594-603. doi:10.1038/s41588-020-0636-z",Lee,10.1038/s41588-020-0636-z,Lineage-dependent gene expression programs influence the immune landscape of colorectal cancer,Lee,Nature Genetics,2020,52,6,594-603,,https://doi.org/10.1038/s41588-020-0636-z,TRUE,TRUE
10.15252/emmm.202114123,17,"17. Uhlitz F, Bischoff P, Peidli S, Sieber A, Trinks A, Luthen M, et al. Mitogen-activated protein kinase activity drives cell trajectories in colorectal cancer. EMBO Mol Med. 2021;13:e14123. doi:10.15252/emmm.202114123",Uhlitz,10.15252/emmm.202114123,Mitogen‐activated protein kinase activity drives cell trajectories in colorectal cancer,Uhlitz,EMBO Molecular Medicine,2021,13,10,EMMM202114123,34409732,https://doi.org/10.15252/emmm.202114123,TRUE,TRUE
10.1038/s41698-023-00488-4,18,"18. Valdeolivas A, Amberg B, Giroud N, Richardson M, Galvez EJC, Badillo S, et al. Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics. NPJ Precis Oncol. 2024;8:10. doi:10.1038/s41698-023-00488-4",Valdeolivas,10.1038/s41698-023-00488-4,Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics,Valdeolivas,npj Precision Oncology,2024,8,1,10,38200223,https://doi.org/10.1038/s41698-023-00488-4,TRUE,TRUE
10.1016/j.cell.2019.03.030,19,"19. Vasaikar S, Huang C, Wang X, Petyuk VA, Savage SR, Wen B, et al. Proteogenomic analysis of human colon cancer reveals new therapeutic opportunities. Cell. 2019;177:1035-1049.e19. doi:10.1016/j.cell.2019.03.030",Vasaikar,10.1016/j.cell.2019.03.030,Proteogenomic Analysis of Human Colon Cancer Reveals New Therapeutic Opportunities,Vasaikar,Cell,2019,177,4,1035-1049.e19,31031003,https://doi.org/10.1016/j.cell.2019.03.030,TRUE,TRUE
10.1158/2159-8290.cd-12-0095,20,"20. Cerami E, Gao J, Dogrusoz U, Gross BE, Sumer SO, Aksoy BA, et al. The cBio Cancer Genomics Portal: an open platform for exploring multidimensional cancer genomics data. Cancer Discov. 2012;2:401-404. doi:10.1158/2159-8290.cd-12-0095",Cerami,10.1158/2159-8290.cd-12-0095,The cBio Cancer Genomics Portal: An Open Platform for Exploring Multidimensional Cancer Genomics Data,Cerami,Cancer Discovery,2012,2,5,401-404,22588877,https://doi.org/10.1158/2159-8290.cd-12-0095,TRUE,TRUE
10.1126/scisignal.2004088,21,"21. Gao J, Aksoy BA, Dogrusoz U, Dresdner G, Gross B, Sumer SO, et al. Integrative analysis of complex cancer genomics and clinical profiles using the cBioPortal. Sci Signal. 2013;6:pl1. doi:10.1126/scisignal.2004088",Gao,10.1126/scisignal.2004088,Integrative Analysis of Complex Cancer Genomics and Clinical Profiles Using the cBioPortal,Gao,Science Signaling,2013,6,269,"",23550210,https://doi.org/10.1126/scisignal.2004088,TRUE,TRUE
10.1016/j.neo.2017.05.002,22,"22. Chandrashekar DS, Bashel B, Balasubramanya SAH, Creighton CJ, Ponce-Rodriguez I, Chakravarthi BVSK, et al. UALCAN: a portal for facilitating tumor subgroup gene expression and survival analyses. Neoplasia. 2017;19:649-658. doi:10.1016/j.neo.2017.05.002",Chandrashekar,10.1016/j.neo.2017.05.002,UALCAN: A Portal for Facilitating Tumor Subgroup Gene Expression and Survival Analyses,Chandrashekar,Neoplasia,2017,19,8,649-658,28732212,https://doi.org/10.1016/j.neo.2017.05.002,TRUE,TRUE
10.1016/j.cell.2021.04.048,23,"23. Hao Y, Hao S, Andersen-Nissen E, Mauck WM 3rd, Zheng S, Butler A, et al. Integrated analysis of multimodal single-cell data. Cell. 2021;184:3573-3587.e29. doi:10.1016/j.cell.2021.04.048",Hao,10.1016/j.cell.2021.04.048,Integrated analysis of multimodal single-cell data,Hao,Cell,2021,184,13,3573-3587.e29,34062119,https://doi.org/10.1016/j.cell.2021.04.048,TRUE,TRUE
10.1038/s41592-019-0619-0,24,"24. Korsunsky I, Millard N, Fan J, Slowikowski K, Zhang F, Wei K, et al. Fast, sensitive and accurate integration of single-cell data with Harmony. Nat Methods. 2019;16:1289-1296. doi:10.1038/s41592-019-0619-0",Korsunsky,10.1038/s41592-019-0619-0,"Fast, sensitive and accurate integration of single-cell data with Harmony",Korsunsky,Nature Methods,2019,16,12,1289-1296,31740819,https://doi.org/10.1038/s41592-019-0619-0,TRUE,TRUE
10.1007/s11749-018-0599-x,25,"25. Bivand RS, Wong DWS. Comparing implementations of global and local indicators of spatial association. TEST. 2018;27:716-748. doi:10.1007/s11749-018-0599-x",Bivand,10.1007/s11749-018-0599-x,Comparing implementations of global and local indicators of spatial association,Bivand,TEST,2018,27,3,716-748,,https://doi.org/10.1007/s11749-018-0599-x,TRUE,TRUE
10.1038/s41467-021-21246-9,26,"26. Jin S, Guerrero-Juarez CF, Zhang L, Chang I, Ramos R, Kuan CH, et al. Inference and analysis of cell-cell communication using CellChat. Nat Commun. 2021;12:1088. doi:10.1038/s41467-021-21246-9",Jin,10.1038/s41467-021-21246-9,Inference and analysis of cell-cell communication using CellChat,Jin,Nature Communications,2021,12,1,1088,33597522,https://doi.org/10.1038/s41467-021-21246-9,TRUE,TRUE
10.1038/s41596-024-01045-4,27,"27. Jin S, Plikus MV, Nie Q. CellChat for systematic analysis of cell-cell communication from single-cell transcriptomics. Nat Protoc. 2025;20:180-219. doi:10.1038/s41596-024-01045-4",Jin,10.1038/s41596-024-01045-4,CellChat for systematic analysis of cell–cell communication from single-cell transcriptomics,Jin,Nature Protocols,2024,20,1,180-219,,https://doi.org/10.1038/s41596-024-01045-4,TRUE,TRUE
10.1038/s41592-019-0667-5,28,"28. Browaeys R, Saelens W, Saeys Y. NicheNet: modeling intercellular communication by linking ligands to target genes. Nat Methods. 2020;17:159-162. doi:10.1038/s41592-019-0667-5",Browaeys,10.1038/s41592-019-0667-5,NicheNet: modeling intercellular communication by linking ligands to target genes,Browaeys,Nature Methods,2019,17,2,159-162,,https://doi.org/10.1038/s41592-019-0667-5,TRUE,TRUE
10.1038/s41467-017-02391-6,29,"29. Schubert M, Klinger B, Klunemann M, Sieber A, Uhlitz F, Sauer S, et al. Perturbation-response genes reveal signaling footprints in cancer gene expression. Nat Commun. 2018;9:20. doi:10.1038/s41467-017-02391-6",Schubert,10.1038/s41467-017-02391-6,Perturbation-response genes reveal signaling footprints in cancer gene expression,Schubert,Nature Communications,2018,9,1,20,29295995,https://doi.org/10.1038/s41467-017-02391-6,TRUE,TRUE
10.1101/gr.240663.118,30,"30. Garcia-Alonso L, Holland CH, Ibrahim MM, Turei D, Saez-Rodriguez J. Benchmark and integration of resources for the estimation of human transcription factor activities. Genome Res. 2019;29:1363-1375. doi:10.1101/gr.240663.118",Garcia-Alonso,10.1101/gr.240663.118,Benchmark and integration of resources for the estimation of human transcription factor activities,Garcia-Alonso,Genome Research,2019,29,8,1363-1375,31340985,https://doi.org/10.1101/gr.240663.118,TRUE,TRUE
10.1186/s13059-016-1070-5,31,"31. Becht E, Giraldo NA, Lacroix L, Buttard B, Elarouci N, Petitprez F, et al. Estimating the population abundance of tissue-infiltrating immune and stromal cell populations using gene expression. Genome Biol. 2016;17:218. doi:10.1186/s13059-016-1070-5",Becht,10.1186/s13059-016-1070-5,Estimating the population abundance of tissue-infiltrating immune and stromal cell populations using gene expression,Becht,Genome Biology,2016,17,1,218,27765066,https://doi.org/10.1186/s13059-016-1070-5,TRUE,TRUE
10.7554/elife.26476,32,"32. Racle J, de Jonge K, Baumgaertner P, Speiser DE, Gfeller D. Simultaneous enumeration of cancer and immune cell types from bulk tumor gene expression data. eLife. 2017;6:e26476. doi:10.7554/elife.26476",Racle,10.7554/elife.26476,Simultaneous enumeration of cancer and immune cell types from bulk tumor gene expression data,Racle,eLife,2017,6,,e26476,29130882,https://doi.org/10.7554/elife.26476,TRUE,TRUE
10.1038/s41416-022-01748-z,33,"33. Strating E, Wassenaar E, Verhagen M, Rauwerdink P, van Schelven S, de Hingh I, et al. Fibroblast activation protein identifies consensus molecular subtype 4 in colorectal cancer and allows its detection by 68Ga-FAPI-PET imaging. Br J Cancer. 2022;127:145-155. doi:10.1038/s41416-022-01748-z",Strating,10.1038/s41416-022-01748-z,Fibroblast activation protein identifies Consensus Molecular Subtype 4 in colorectal cancer and allows its detection by 68Ga-FAPI-PET imaging,Strating,British Journal of Cancer,2022,127,1,145-155,35296803,https://doi.org/10.1038/s41416-022-01748-z,TRUE,TRUE
10.1038/nrm3758,34,"34. Lamouille S, Xu J, Derynck R. Molecular mechanisms of epithelial-mesenchymal transition. Nat Rev Mol Cell Biol. 2014;15:178-196. doi:10.1038/nrm3758",Lamouille,10.1038/nrm3758,Molecular mechanisms of epithelial–mesenchymal transition,Lamouille,Nature Reviews Molecular Cell Biology,2014,15,3,178-196,24556840,https://doi.org/10.1038/nrm3758,TRUE,TRUE
10.1016/j.bbamem.2020.183503,35,"35. Kyuno D, Takasawa A, Kikuchi S, Takemasa I, Osanai M, Kojima T. Role of tight junctions in the epithelial-to-mesenchymal transition of cancer cells. Biochim Biophys Acta Biomembr. 2021;1863:183503. doi:10.1016/j.bbamem.2020.183503",Kyuno,10.1016/j.bbamem.2020.183503,Role of tight junctions in the epithelial-to-mesenchymal transition of cancer cells,Kyuno,Biochimica et Biophysica Acta (BBA) - Biomembranes,2021,1863,3,183503,,https://doi.org/10.1016/j.bbamem.2020.183503,TRUE,TRUE
10.1038/s41467-023-40850-5,36,"36. Xiao Z, Todd L, Huang L, Noguera-Ortega E, Lu Z, Huang L, et al. Desmoplastic stroma restricts T cell extravasation and mediates immune exclusion and immunosuppression in solid tumors. Nat Commun. 2023;14:5110. doi:10.1038/s41467-023-40850-5",Xiao,10.1038/s41467-023-40850-5,Desmoplastic stroma restricts T cell extravasation and mediates immune exclusion and immunosuppression in solid tumors,Xiao,Nature Communications,2023,14,1,5110,37607999,https://doi.org/10.1038/s41467-023-40850-5,TRUE,TRUE
