sample,dataset
GSM972186,discovery
GSM972187,discovery
GSM972188,discovery
GSM972189,discovery
GSM972190,discovery
GSM972191,discovery
GSM972192,discovery
GSM972193,discovery
GSM972194,discovery
GSM972195,discovery
GSM972196,discovery
GSM972197,discovery
GSM972198,discovery
GSM972199,discovery
GSM972200,discovery
GSM972201,discovery
GSM972202,discovery
GSM972203,discovery
GSM972204,discovery
GSM972205,discovery
GSM972206,discovery
GSM972207,discovery
GSM972208,discovery
GSM972209,discovery
GSM972210,discovery
GSM972211,discovery
GSM972212,discovery
GSM972213,discovery
GSM972214,discovery
GSM972215,discovery
GSM972216,discovery
GSM972217,discovery
GSM972218,discovery
GSM972219,discovery
GSM972220,discovery
GSM972221,discovery
GSM972222,discovery
GSM972223,discovery
GSM972224,discovery
GSM972225,discovery
GSM972226,discovery
GSM972227,discovery
GSM972228,discovery
GSM972229,discovery
GSM972230,discovery
GSM972231,discovery
GSM972232,discovery
GSM972233,discovery
GSM972234,discovery
GSM972235,discovery
GSM972236,discovery
GSM972237,discovery
GSM972238,discovery
GSM972239,discovery
GSM972240,discovery
GSM972241,discovery
GSM972242,discovery
GSM972243,discovery
GSM972244,discovery
GSM972245,discovery
GSM972246,discovery
GSM972247,discovery
GSM972248,discovery
GSM972249,discovery
GSM972250,discovery
GSM972251,discovery
GSM972252,discovery
GSM972253,discovery
GSM972254,discovery
GSM972255,discovery
GSM972256,discovery
GSM972257,discovery
GSM972258,discovery
GSM972259,discovery
GSM972260,discovery
GSM972261,discovery
GSM972262,discovery
GSM972263,discovery
GSM972264,discovery
GSM972265,discovery
GSM972266,discovery
GSM972267,discovery
GSM972268,discovery
GSM972269,discovery
GSM972270,discovery
GSM972271,discovery
GSM972272,discovery
GSM972273,discovery
GSM972274,discovery
GSM972275,discovery
GSM972276,discovery
GSM972277,discovery
GSM972278,discovery
GSM972279,discovery
GSM972280,discovery
GSM972281,discovery
GSM972282,discovery
GSM972283,discovery
GSM972284,discovery
GSM972285,discovery
GSM972286,discovery
GSM972287,discovery
GSM972288,discovery
GSM972289,discovery
GSM972290,discovery
GSM972291,discovery
GSM972292,discovery
GSM972293,discovery
GSM972294,discovery
GSM972295,discovery
GSM972296,discovery
GSM972297,discovery
GSM972298,discovery
GSM972299,discovery
GSM972300,discovery
GSM972301,discovery
GSM972302,discovery
GSM972303,discovery
GSM972304,discovery
GSM972305,discovery
GSM972306,discovery
GSM972307,discovery
GSM972308,discovery
GSM972309,discovery
GSM972310,discovery
GSM972311,discovery
GSM972312,discovery
GSM972313,discovery
GSM972314,discovery
GSM972315,discovery
GSM972316,discovery
GSM972317,discovery
GSM972318,discovery
GSM972319,discovery
GSM972320,discovery
GSM972321,discovery
GSM972322,discovery
GSM972323,discovery
GSM972324,discovery
GSM972325,discovery
GSM972326,discovery
GSM972327,discovery
GSM972328,discovery
GSM972329,discovery
GSM972330,discovery
GSM972331,discovery
GSM972332,discovery
GSM972333,discovery
GSM972334,discovery
GSM972335,discovery
GSM972336,discovery
GSM972337,discovery
GSM972338,discovery
GSM972339,discovery
GSM972340,discovery
GSM972341,discovery
GSM972342,discovery
GSM972343,discovery
GSM972344,discovery
GSM972345,discovery
GSM972346,discovery
GSM972347,discovery
GSM972348,discovery
GSM972349,discovery
GSM972350,discovery
GSM972351,discovery
GSM972352,discovery
GSM972353,discovery
GSM972354,discovery
GSM972355,discovery
GSM972356,discovery
GSM972357,discovery
GSM972358,discovery
GSM972359,discovery
GSM972360,discovery
GSM972361,discovery
GSM972362,discovery
GSM972363,discovery
GSM972364,discovery
GSM972365,discovery
GSM972366,discovery
GSM972367,discovery
GSM972368,discovery
GSM972369,discovery
GSM972370,discovery
GSM972371,discovery
GSM972372,discovery
GSM972373,discovery
GSM972374,discovery
GSM972375,discovery
GSM972376,discovery
GSM972377,discovery
GSM972378,discovery
GSM972379,discovery
GSM972380,discovery
GSM972381,discovery
GSM972382,discovery
GSM972383,discovery
GSM972384,discovery
GSM972385,discovery
GSM972386,discovery
GSM972387,discovery
GSM972388,discovery
GSM972389,discovery
GSM972390,discovery
GSM972391,discovery
GSM972392,discovery
GSM972393,discovery
GSM972394,discovery
GSM972395,discovery
GSM972396,discovery
GSM972397,discovery
GSM972398,discovery
GSM972399,discovery
GSM972400,validation
GSM972401,validation
GSM972402,validation
GSM972403,validation
GSM972404,validation
GSM972405,validation
GSM972406,validation
GSM972407,validation
GSM972408,validation
GSM972409,validation
GSM972410,validation
GSM972411,validation
GSM972412,validation
GSM972413,validation
GSM972414,validation
GSM972415,validation
GSM972416,validation
GSM972417,validation
GSM972418,validation
GSM972419,validation
GSM972420,validation
GSM972421,validation
GSM972422,validation
GSM972423,validation
GSM972424,validation
GSM972425,validation
GSM972426,validation
GSM972427,validation
GSM972428,validation
GSM972429,validation
GSM972430,validation
GSM972431,validation
GSM972432,validation
GSM972433,validation
GSM972434,validation
GSM972435,validation
GSM972436,validation
GSM972437,validation
GSM972438,validation
GSM972439,validation
GSM972440,validation
GSM972441,validation
GSM972442,validation
GSM972443,validation
GSM972444,validation
GSM972445,validation
GSM972446,validation
GSM972447,validation
GSM972448,validation
GSM972449,validation
GSM972450,validation
GSM972451,validation
GSM972452,validation
GSM972453,validation
GSM972454,validation
GSM972455,validation
GSM972456,validation
GSM972457,validation
GSM972458,validation
GSM972459,validation
GSM972460,validation
GSM972461,validation
GSM972462,validation
GSM972463,validation
GSM972464,validation
GSM972465,validation
GSM972466,validation
GSM972467,validation
GSM972468,validation
GSM972469,validation
GSM972470,validation
GSM972471,validation
GSM972472,validation
GSM972473,validation
GSM972474,validation
GSM972475,validation
GSM972476,validation
GSM972477,validation
GSM972478,validation
GSM972479,validation
GSM972480,validation
GSM972481,validation
GSM972482,validation
GSM972483,validation
GSM972484,validation
GSM972485,validation
GSM972486,validation
GSM972487,validation
GSM972488,validation
GSM972489,validation
GSM972490,validation
GSM972491,validation
GSM972492,validation
GSM972493,validation
GSM972494,validation
GSM972495,validation
GSM972496,validation
GSM972497,validation
GSM972498,validation
GSM972499,validation
GSM972500,validation
GSM972501,validation
GSM972502,validation
GSM972503,validation
GSM972504,validation
GSM972505,validation
GSM972506,validation
GSM972507,validation
GSM972508,validation
GSM972509,validation
GSM972510,validation
GSM972511,validation
GSM972512,validation
GSM972513,validation
GSM972514,validation
GSM972515,validation
GSM972516,validation
GSM972517,validation
GSM972518,validation
GSM972519,validation
GSM972520,validation
GSM972521,validation
GSM972522,validation
GSM1681353,Non Tumoral
GSM1681354,Non Tumoral
GSM1681355,Non Tumoral
GSM1681356,Non Tumoral
GSM1681357,Non Tumoral
GSM1681358,Non Tumoral
GSM1681359,Non Tumoral
GSM1681360,Non Tumoral
GSM1681361,Non Tumoral
GSM1681362,Non Tumoral
GSM1681363,Non Tumoral
GSM1681364,Non Tumoral
GSM1681365,Non Tumoral
GSM1681366,Non Tumoral
GSM1681367,Non Tumoral
GSM1681368,Non Tumoral
GSM1681369,Non Tumoral
GSM1681370,Non Tumoral
GSM1681371,Non Tumoral
