reference,doi,title,checked_utc,status,notices,claim_support
11,10.1091/mbc.E11-10-0884,Lamin B1 loss is a senescence-associated biomarker,2026-09-08T19:57:50.362035+00:00,verified,{},unchanged claim; verified v7.2 evidence ledger reused
12,10.1038/s41568-019-0156-2,Unmasking senescence: context-dependent effects of SASP in cancer,2026-09-08T19:57:50.656826+00:00,verified,"{""relation"": {""has-review"": [{""id-type"": ""doi"", ""id"": ""10.3410/f.736057492.793580104"", ""asserted-by"": ""object""}]}, ""assertion"": [{""value"": ""15 May 2019"", ""order"": 1, ""name"": ""accepted"", ""label"": ""Accepted"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""24 June 2019"", ""order"": 2, ""name"": ""first_online"", ""label"": ""First Online"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""The authors declare no competing interests."", ""order"": 1, ""name"": ""Ethics"", ""group"": {""name"": ""EthicsHeading"", ""label"": ""Competing interests""}}]}",unchanged claim; verified v7.2 evidence ledger reused
13,10.1158/2159-8290.CD-23-0428,Senescence Defines a Distinct Subset of Myofibroblasts That Orchestrates Immunosuppression in Pancreatic Cancer,2026-09-08T19:57:50.753538+00:00,verified,{},unchanged claim; verified v7.2 evidence ledger reused
14,10.18632/aging.205577,Mapping the core senescence phenotype of primary human colon fibroblasts,2026-09-08T19:57:51.473879+00:00,verified,{},unchanged claim; verified v7.2 evidence ledger reused
15,10.1186/s12967-025-07636-3,Senescent fibroblasts drive CD8+ T cell dysfunction in colorectal cancer via CD36-mediated lipid transfer and peroxidation,2026-09-08T19:57:51.521173+00:00,verified,"{""assertion"": [{""value"": ""15 October 2025"", ""order"": 1, ""name"": ""received"", ""label"": ""Received"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""22 December 2025"", ""order"": 2, ""name"": ""accepted"", ""label"": ""Accepted"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""14 January 2026"", ""order"": 3, ""name"": ""first_online"", ""label"": ""First Online"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""order"": 1, ""name"": ""Ethics"", ""group"": {""name"": ""EthicsHeading"", ""label"": ""Declarations""}}, {""value"": ""Two human colorecral tumor biopsy samples were collected for research purposes, with approval from the Ethics Committee of Huashan Hospital, Fudan University (Approval No. KY2022-913). All animal experiments were conducted in accordance with relevant guidelines and were approved by the Institutional Animal Care and Use Committee (IACUC) of Fudan University (2021JS-398)."", ""order"": 2, ""name"": ""Ethics"", ""group"": {""name"": ""EthicsHeading"", ""label"": ""Ethics approval and consent to participate""}}, {""value"": ""All authors of the manuscript have read and agreed to its content and are accountable for all aspects of the accuracy and integrity of the manuscript in accordance with ICMJE criteria."", ""order"": 3, ""name"": ""Ethics"", ""group"": {""name"": ""EthicsHeading"", ""label"": ""Consent for publication""}}, {""value"": ""The authors have no conflicts to disclose."", ""order"": 4, ""name"": ""Ethics"", ""group"": {""name"": ""EthicsHeading"", ""label"": ""Conflict of interest""}}]}",unchanged claim; verified v7.2 evidence ledger reused
16,10.1158/0008-5472.CAN-25-4870,Macrophage-Induced Senescent Cancer-Associated Fibroblasts Promote SASP-Mediated Chemoresistance in Colorectal Cancer,2026-09-08T19:57:51.876448+00:00,verified,{},unchanged claim; verified v7.2 evidence ledger reused
17,10.1016/j.jare.2026.08.047,Targeting a candidate stromal immune checkpoint: a cellular senescence signature identifies COMP⁺ cancer-associated fibroblasts associated with CD8⁺ T-cell exclusion via a predicted COMP–CD47 axis in colorectal cancer,2026-09-08T19:57:52.042086+00:00,verified,"{""assertion"": [{""value"": ""Elsevier"", ""name"": ""publisher"", ""label"": ""This article is maintained by""}, {""value"": ""Targeting a candidate stromal immune checkpoint: a cellular senescence signature identifies COMP⁺ cancer-associated fibroblasts associated with CD8⁺ T-cell exclusion via a predicted COMP–CD47 axis in colorectal cancer"", ""name"": ""articletitle"", ""label"": ""Article Title""}, {""value"": ""Journal of Advanced Research"", ""name"": ""journaltitle"", ""label"": ""Journal Title""}, {""value"": ""https://doi.org/10.1016/j.jare.2026.08.047"", ""name"": ""articlelink"", ""label"": ""CrossRef DOI link to publisher maintained version""}, {""value"": ""article"", ""name"": ""content_type"", ""label"": ""Content Type""}, {""value"": ""© 2026 The Author(s). Published by Elsevier B.V. on behalf of Cairo University."", ""name"": ""copyright"", ""label"": ""Copyright""}]}",unchanged claim; verified v7.2 evidence ledger reused
18,10.1038/s41467-021-21038-1,A practical solution to pseudoreplication bias in single-cell studies,2026-09-08T19:57:52.576720+00:00,verified,"{""relation"": {""has-preprint"": [{""id-type"": ""doi"", ""id"": ""10.1101/2020.01.15.906248"", ""asserted-by"": ""object""}]}, ""assertion"": [{""value"": ""12 December 2019"", ""order"": 1, ""name"": ""received"", ""label"": ""Received"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""7 January 2021"", ""order"": 2, ""name"": ""accepted"", ""label"": ""Accepted"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""2 February 2021"", ""order"": 3, ""name"": ""first_online"", ""label"": ""First Online"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""The authors declare no competing interests."", ""order"": 1, ""name"": ""Ethics"", ""group"": {""name"": ""EthicsHeading"", ""label"": ""Competing interests""}}]}",unchanged claim; verified v7.2 evidence ledger reused
19,10.1038/s41467-021-25960-2,Confronting false discoveries in single-cell differential expression,2026-09-08T19:57:52.586720+00:00,verified,"{""relation"": {""has-preprint"": [{""id-type"": ""doi"", ""id"": ""10.1101/2021.03.12.435024"", ""asserted-by"": ""object""}]}, ""assertion"": [{""value"": ""18 May 2021"", ""order"": 1, ""name"": ""received"", ""label"": ""Received"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""6 September 2021"", ""order"": 2, ""name"": ""accepted"", ""label"": ""Accepted"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""28 September 2021"", ""order"": 3, ""name"": ""first_online"", ""label"": ""First Online"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""G.C. is a founder and shareholder of Onward Medical, a company with no direct relationships with the present work. The remaining authors declare no competing interests."", ""order"": 1, ""name"": ""Ethics"", ""group"": {""name"": ""EthicsHeading"", ""label"": ""Competing interests""}}]}",unchanged claim; verified v7.2 evidence ledger reused
20,10.1038/nature11252,Comprehensive molecular characterization of human colon and rectal cancer,2026-09-08T19:57:53.015476+00:00,verified,"{""relation"": {""is-referenced-by"": [{""id-type"": ""doi"", ""id"": ""10.7554/eLife.02725"", ""asserted-by"": ""object""}], ""has-review"": [{""id-type"": ""doi"", ""id"": ""10.3410/f.717950661.793455968"", ""asserted-by"": ""object""}]}, ""assertion"": [{""value"": ""15 November 2011"", ""order"": 1, ""name"": ""received"", ""label"": ""Received"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""22 May 2012"", ""order"": 2, ""name"": ""accepted"", ""label"": ""Accepted"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""18 July 2012"", ""order"": 3, ""name"": ""first_online"", ""label"": ""First Online"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""The author declare no competing financial interests."", ""order"": 1, ""name"": ""Ethics"", ""group"": {""name"": ""EthicsHeading"", ""label"": ""Competing interests""}}]}",unchanged claim; verified v7.2 evidence ledger reused
21,10.1371/journal.pmed.1001453,"Gene Expression Classification of Colon Cancer into Molecular Subtypes: Characterization, Validation, and Prognostic Value",2026-09-08T19:57:53.113649+00:00,verified,{},unchanged claim; verified v7.2 evidence ledger reused
22,10.1038/s41588-020-0636-z,Lineage-dependent gene expression programs influence the immune landscape of colorectal cancer,2026-09-08T19:57:53.661911+00:00,verified,"{""assertion"": [{""value"": ""19 September 2019"", ""order"": 1, ""name"": ""received"", ""label"": ""Received"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""28 April 2020"", ""order"": 2, ""name"": ""accepted"", ""label"": ""Accepted"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""25 May 2020"", ""order"": 3, ""name"": ""first_online"", ""label"": ""First Online"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""The authors declare no competing interests."", ""order"": 1, ""name"": ""Ethics"", ""group"": {""name"": ""EthicsHeading"", ""label"": ""Competing interests""}}]}",unchanged claim; verified v7.2 evidence ledger reused
23,10.15252/emmm.202114123,Mitogen‐activated protein kinase activity drives cell trajectories in colorectal cancer,2026-09-08T19:57:53.990641+00:00,verified,"{""relation"": {""has-preprint"": [{""id-type"": ""doi"", ""id"": ""10.1101/2020.01.10.901579"", ""asserted-by"": ""object""}]}, ""assertion"": [{""value"": ""11 February 2021"", ""order"": 1, ""name"": ""received"", ""label"": ""Received"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""27 July 2021"", ""order"": 2, ""name"": ""revised"", ""label"": ""Revised"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""30 July 2021"", ""order"": 3, ""name"": ""accepted"", ""label"": ""Accepted"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""19 August 2021"", ""order"": 4, ""name"": ""first_online"", ""label"": ""First Online"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""The authors declare that they have no conflict of interest."", ""order"": 1, ""name"": ""Ethics"", ""group"": {""name"": ""EthicsHeading"", ""label"": ""Conflict of interest""}}]}",unchanged claim; verified v7.2 evidence ledger reused
24,10.1038/s41588-025-02193-3,High-definition spatial transcriptomic profiling of immune cell populations in colorectal cancer,2026-09-08T19:57:54.141784+00:00,verified,"{""assertion"": [{""value"": ""13 June 2024"", ""order"": 1, ""name"": ""received"", ""label"": ""Received"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""14 April 2025"", ""order"": 2, ""name"": ""accepted"", ""label"": ""Accepted"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""5 June 2025"", ""order"": 3, ""name"": ""first_online"", ""label"": ""First Online"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""All authors are current or former employees or shareholders of 10x Genomics."", ""order"": 1, ""name"": ""Ethics"", ""group"": {""name"": ""EthicsHeading"", ""label"": ""Competing interests""}}]}",unchanged claim; verified v7.2 evidence ledger reused
25,10.1038/s41698-023-00488-4,Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics,2026-09-08T19:57:54.198684+00:00,verified,"{""assertion"": [{""value"": ""24 February 2023"", ""order"": 1, ""name"": ""received"", ""label"": ""Received"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""4 December 2023"", ""order"": 2, ""name"": ""accepted"", ""label"": ""Accepted"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""10 January 2024"", ""order"": 3, ""name"": ""first_online"", ""label"": ""First Online"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""A.V., B.A., E.G., N.G., M.R., S.B., I.W., B.P., L.V., E.Y., M.B., M.S., N.K., B.J., P.S., T.B. and K.H. are currently employed by F. Hoffmann-La Roche Ltd. A.J.L. and D.T. were previously employed by F. Hoffmann-La Roche Ltd. A.J.L. is currently employed by Idorsia Pharmaceuticals Ltd. D.T. is currently employed by University of Bern. A.L. is currently employed by Genentech, Inc. M.D.T. was previously employed by Genentech, Inc and is currently employed by Gilead Sciences, Inc. J.S.R. has received funding from GSK and Sanofi and fees from Travere Therapeutics and Astex Pharmaceuticals. The authors declare that they have no other competing interests."", ""order"": 1, ""name"": ""Ethics"", ""group"": {""name"": ""EthicsHeading"", ""label"": ""Competing interests""}}]}",unchanged claim; verified v7.2 evidence ledger reused
26,10.64898/2026.07.29.741338,Custom Probe-Based Spatial Transcriptomics Enables Microbiome Detection in FFPE Colorectal Cancer Tissue,2026-09-08T19:57:54.853917+00:00,verified,{},unchanged claim; verified v7.2 evidence ledger reused
27,10.1016/j.cell.2019.03.030,Proteogenomic Analysis of Human Colon Cancer Reveals New Therapeutic Opportunities,2026-09-08T19:57:55.151428+00:00,verified,"{""assertion"": [{""value"": ""Elsevier"", ""name"": ""publisher"", ""label"": ""This article is maintained by""}, {""value"": ""Proteogenomic Analysis of Human Colon Cancer Reveals New Therapeutic Opportunities"", ""name"": ""articletitle"", ""label"": ""Article Title""}, {""value"": ""Cell"", ""name"": ""journaltitle"", ""label"": ""Journal Title""}, {""value"": ""https://doi.org/10.1016/j.cell.2019.03.030"", ""name"": ""articlelink"", ""label"": ""CrossRef DOI link to publisher maintained version""}, {""value"": ""article"", ""name"": ""content_type"", ""label"": ""Content Type""}, {""value"": ""© 2019 Elsevier Inc."", ""name"": ""copyright"", ""label"": ""Copyright""}]}",unchanged claim; verified v7.2 evidence ledger reused
28,10.1158/2159-8290.CD-12-0095,The cBio Cancer Genomics Portal: An Open Platform for Exploring Multidimensional Cancer Genomics Data,2026-09-08T19:57:55.281857+00:00,verified,{},unchanged claim; verified v7.2 evidence ledger reused
29,10.1126/scisignal.2004088,Integrative Analysis of Complex Cancer Genomics and Clinical Profiles Using the cBioPortal,2026-09-08T19:57:55.771693+00:00,verified,{},unchanged claim; verified v7.2 evidence ledger reused
30,10.1186/s13059-016-1070-5,Estimating the population abundance of tissue-infiltrating immune and stromal cell populations using gene expression,2026-09-08T19:57:56.112831+00:00,verified,"{""updated-by"": [{""DOI"": ""10.1186/s13059-016-1113-y"", ""type"": ""correction"", ""label"": ""Correction"", ""source"": ""publisher"", ""updated"": {""date-parts"": [[2016, 12, 1]], ""date-time"": ""2016-12-01T00:00:00Z"", ""timestamp"": 1480550400000}}]}",unchanged claim; verified v7.2 evidence ledger reused
31,10.1186/s13059-016-1113-y,Erratum to: Estimating the population abundance of tissue-infiltrating immune and stromal cell populations using gene expression,2026-09-08T19:57:56.291728+00:00,verified,"{""update-to"": [{""DOI"": ""10.1186/s13059-016-1070-5"", ""type"": ""correction"", ""label"": ""Correction"", ""source"": ""publisher"", ""updated"": {""date-parts"": [[2016, 12, 1]], ""date-time"": ""2016-12-01T00:00:00Z"", ""timestamp"": 1480550400000}}]}",unchanged claim; verified v7.2 evidence ledger reused
